Source,Winner,Winner Score,Loser,Loser Score,GameID,Away,Home,AwayScore,HomeScore
JordanMendoza,Buccaneers,24,Saints,20,TBNO,TB,NO,24,20
LorenzoReyes,Eagles,26,Browns,13,CLEPHI,CLE,PHI,13,26
TylerDragon,Eagles,30,Browns,20,CLEPHI,CLE,PHI,20,30
JordanMendoza,Eagles,29,Browns,16,CLEPHI,CLE,PHI,16,29
LorenzoReyes,Colts,23,Titans,17,INDTEN,IND,TEN,23,17
TylerDragon,Colts,21,Titans,17,INDTEN,IND,TEN,21,17
JordanMendoza,Colts,17,Titans,16,INDTEN,IND,TEN,17,16
LorenzoReyes,Broncos,14,Chargers,13,LACDEN,LAC,DEN,13,14
TylerDragon,Chargers,20,Broncos,16,LACDEN,LAC,DEN,20,16
JordanMendoza,Broncos,19,Chargers,17,LACDEN,LAC,DEN,17,19
LorenzoReyes,Steelers,17,Raiders,6,PITLV,PIT,LV,17,6
TylerDragon,Steelers,21,Raiders,16,PITLV,PIT,LV,21,16
JordanMendoza,Steelers,20,Raiders,13,PITLV,PIT,LV,20,13
LorenzoReyes,Falcons,24,Panthers,13,ATLCAR,ATL,CAR,24,13
TylerDragon,Falcons,28,Panthers,17,ATLCAR,ATL,CAR,28,17
JordanMendoza,Falcons,30,Panthers,16,ATLCAR,ATL,CAR,30,16
LorenzoReyes,Lions,24,Cowboys,17,DETDAL,DET,DAL,24,17
TylerDragon,Lions,28,Cowboys,24,DETDAL,DET,DAL,28,24
JordanMendoza,Lions,26,Cowboys,23,DETDAL,DET,DAL,26,23
LorenzoReyes,Bengals,30,Giants,13,CINNYG,CIN,NYG,30,13
TylerDragon,Bengals,27,Giants,20,CINNYG,CIN,NYG,27,20
JordanMendoza,Bengals,27,Giants,25,CINNYG,CIN,NYG,27,25
LorenzoReyes,Jets,19,Bills,17,BUFNYJ,BUF,NYJ,17,19
TylerDragon,Bills,28,Jets,24,BUFNYJ,BUF,NYJ,28,24
JordanMendoza,Bills,20,Jets,17,BUFNYJ,BUF,NYJ,20,17
