Source,Winner,Winner Score,Loser,Loser Score,GameID,GameIDInt,Away Code,Away Short Name,Away Full Name,Home Code,Home Short Name,Home Full Name,AwayScore,HomeScore,Spread,Total
DRatings,Jets,18,Buccaneers,24,NYJTB,4765710,NYJ,Jets,New York Jets,TB,Buccaneers,Tampa Bay Buccaneers,18,24,-6.5,43.5
DRatings,Raiders,19,Commanders,25,LVWAS,4765711,LV,Raiders,Las Vegas Raiders,WAS,Commanders,Washington Commanders,19,25,-3.5,44
DRatings,Rams,21,Eagles,26,LARPHI,4765712,LAR,Rams,Los Angeles Rams,PHI,Eagles,Philadelphia Eagles,21,26,-3,44.5
DRatings,Falcons,27,Panthers,20,ATLCAR,4765713,ATL,Falcons,Atlanta Falcons,CAR,Panthers,Carolina Panthers,27,20,5.5,44
DRatings,Bengals,19,Vikings,26,CINMIN,4765714,CIN,Bengals,Cincinnati Bengals,MIN,Vikings,Minnesota Vikings,19,26,-3,42
DRatings,Texans,22,Jaguars,20,HOUJAC,4765715,HOU,Texans,Houston Texans,JAC,Jaguars,Jacksonville Jaguars,22,20,-1.5,44
DRatings,Packers,26,Browns,16,GBCLE,4765716,GB,Packers,Green Bay Packers,CLE,Browns,Cleveland Browns,26,16,7,41.5
DRatings,Broncos,22,Chargers,22,DENLAC,4765717,DEN,Broncos,Denver Broncos,LAC,L.A. Chargers,Los Angeles Chargers,22,22,-3,46
DRatings,Saints,17,Seahawks,26,NOSEA,4765718,NO,Saints,New Orleans Saints,SEA,Seahawks,Seattle Seahawks,17,26,-7,42
DRatings,Cardinals,24,49ers,21,ARISF,4765719,ARI,Cardinals,Arizona Cardinals,SF,49ers,San Francisco 49ers,24,21,-3,44.5
DRatings,Cowboys,22,Bears,23,DALCHI,4765720,DAL,Cowboys,Dallas Cowboys,CHI,Bears,Chicago Bears,22,23,1,50.5
DRatings,Chiefs,26,Giants,16,KCNYG,4765721,KC,Chiefs,Kansas City Chiefs,NYG,N.Y. Giants,New York Giants,26,16,6,45
DRatings,Lions,23,Ravens,30,DETBAL,4765722,DET,Lions,Detroit Lions,BAL,Ravens,Baltimore Ravens,23,30,-4.5,53
GennaroNFL,Bills,40,Dolphins,22,MIABUF,4765707,MIA,Dolphins,Miami Dolphins,BUF,Bills,Buffalo Bills,22,40,-11.5,50.5
GennaroNFL,Colts,24,Titans,16,INDTEN,4765708,IND,Colts,Indianapolis Colts,TEN,Titans,Tennessee Titans,24,16,4,43.5
GennaroNFL,Patriots,24,Steelers,22,PITNE,4765709,PIT,Steelers,Pittsburgh Steelers,NE,Patriots,New England Patriots,22,24,1.5,44.5
