Source,Winner,Winner Score,Loser,Loser Score,GameID,Away Code,Away Short Name,Away Full Name,Home Code,Home Short Name,Home Full Name,AwayScore,HomeScore
TylerDragon,Browns,20,Giants,10,NYGCLE,NYG,Giants,New York Giants,CLE,Browns,Cleveland Browns,10,20
MichaelMiddlehurst-Schwartz,Browns,21,Giants,7,NYGCLE,NYG,Giants,New York Giants,CLE,Browns,Cleveland Browns,7,21
LorenzoReyes,Browns,23,Giants,9,NYGCLE,NYG,Giants,New York Giants,CLE,Browns,Cleveland Browns,9,23
JarrettBell,Packers,19,Titans,17,GBTEN,GB,Packers,Green Bay Packers,TEN,Titans,Tennessee Titans,19,17
ChrisBumbaca,Titans,20,Packers,17,GBTEN,GB,Packers,Green Bay Packers,TEN,Titans,Tennessee Titans,17,20
NateDavis,Packers,24,Titans,17,GBTEN,GB,Packers,Green Bay Packers,TEN,Titans,Tennessee Titans,24,17
TylerDragon,Packers,20,Titans,16,GBTEN,GB,Packers,Green Bay Packers,TEN,Titans,Tennessee Titans,20,16
MichaelMiddlehurst-Schwartz,Packers,20,Titans,17,GBTEN,GB,Packers,Green Bay Packers,TEN,Titans,Tennessee Titans,20,17
LorenzoReyes,Packers,17,Titans,10,GBTEN,GB,Packers,Green Bay Packers,TEN,Titans,Tennessee Titans,17,10
JarrettBell,Saints,24,Eagles,20,PHINO,PHI,Eagles,Philadelphia Eagles,NO,Saints,New Orleans Saints,20,24
ChrisBumbaca,Saints,30,Eagles,28,PHINO,PHI,Eagles,Philadelphia Eagles,NO,Saints,New Orleans Saints,28,30
NateDavis,Saints,34,Eagles,27,PHINO,PHI,Eagles,Philadelphia Eagles,NO,Saints,New Orleans Saints,27,34
TylerDragon,Eagles,27,Saints,24,PHINO,PHI,Eagles,Philadelphia Eagles,NO,Saints,New Orleans Saints,27,24
MichaelMiddlehurst-Schwartz,Saints,30,Eagles,23,PHINO,PHI,Eagles,Philadelphia Eagles,NO,Saints,New Orleans Saints,23,30
LorenzoReyes,Eagles,25,Saints,21,PHINO,PHI,Eagles,Philadelphia Eagles,NO,Saints,New Orleans Saints,25,21
JarrettBell,Steelers,20,Chargers,17,LACPIT,LAC,Chargers,Los Angeles Chargers,PIT,Steelers,Pittsburgh Steelers,17,20
ChrisBumbaca,Steelers,19,Chargers,17,LACPIT,LAC,Chargers,Los Angeles Chargers,PIT,Steelers,Pittsburgh Steelers,17,19
NateDavis,Steelers,23,Chargers,20,LACPIT,LAC,Chargers,Los Angeles Chargers,PIT,Steelers,Pittsburgh Steelers,20,23
TylerDragon,Chargers,20,Steelers,17,LACPIT,LAC,Chargers,Los Angeles Chargers,PIT,Steelers,Pittsburgh Steelers,20,17
MichaelMiddlehurst-Schwartz,Steelers,20,Chargers,16,LACPIT,LAC,Chargers,Los Angeles Chargers,PIT,Steelers,Pittsburgh Steelers,16,20
LorenzoReyes,Steelers,17,Chargers,16,LACPIT,LAC,Chargers,Los Angeles Chargers,PIT,Steelers,Pittsburgh Steelers,16,17
JarrettBell,Vikings,27,Texans,24,HOUMIN,HOU,Texans,Houston Texans,MIN,Vikings,Minnesota Vikings,24,27
ChrisBumbaca,Texans,27,Vikings,20,HOUMIN,HOU,Texans,Houston Texans,MIN,Vikings,Minnesota Vikings,27,20
NateDavis,Texans,30,Vikings,23,HOUMIN,HOU,Texans,Houston Texans,MIN,Vikings,Minnesota Vikings,30,23
TylerDragon,Texans,26,Vikings,17,HOUMIN,HOU,Texans,Houston Texans,MIN,Vikings,Minnesota Vikings,26,17
MichaelMiddlehurst-Schwartz,Texans,24,Vikings,20,HOUMIN,HOU,Texans,Houston Texans,MIN,Vikings,Minnesota Vikings,24,20
